,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
kodiak,kodiak,40,US,60,57.79,-152.41,39.2,11.41
jamestown,jamestown,1,US,29,42.1,-79.24,53.6,13.87
senekal,senekal,0,ZA,40,-28.32,27.62,57.27,6.98
saskylakh,saskylakh,84,RU,96,71.92,114.08,-22.65,3.27
rikitea,rikitea,35,PF,83,-23.12,-134.97,78.87,13
bredasdorp,bredasdorp,100,ZA,82,-34.53,20.04,66.2,10.29
tuatapere,tuatapere,69,NZ,70,-46.13,167.68,71.01,7
katsuura,katsuura,75,JP,82,35.13,140.3,63,13.87
mataura,mataura,7,NZ,70,-46.19,168.86,71.01,7
toora-khem,toora-khem,98,RU,84,52.47,96.11,9.77,2.95
kamyshin,kamyshin,40,RU,81,50.1,45.42,38.07,8.14
new norfolk,new norfolk,75,AU,51,-42.78,147.06,61,11.41
georgetown,georgetown,20,MY,79,5.41,100.34,86,4.7
punta arenas,punta arenas,26,CL,70,-53.15,-70.92,46.4,5.82
jiazi,jiazi,32,CN,62,22.88,116.07,79.61,9.93
punta alta,punta alta,0,AR,62,-38.88,-62.07,65.32,10.71
port blair,port blair,0,IN,65,11.67,92.75,79.84,9.44
vaini,vaini,75,TO,74,-21.2,-175.2,82.4,6.93
albany,albany,20,US,59,42.6,-73.97,41,5.23
wamba,wamba,100,NG,15,8.93,8.6,75.07,3.15
ushuaia,ushuaia,75,AR,81,-54.8,-68.3,46.4,18.34
winsum,winsum,75,NL,93,53.33,6.52,45,9.17
tiksi,tiksi,100,RU,92,71.69,128.87,-19.82,2.98
pevek,pevek,100,RU,83,69.7,170.31,-4.94,4.99
kapaa,kapaa,20,US,60,22.08,-159.32,80.6,24.16
rognan,rognan,75,NO,86,67.1,15.39,37.99,17.22
atuona,atuona,0,PF,66,-9.8,-139.03,82.04,11.32
carnarvon,carnarvon,16,AU,74,-24.87,113.63,80.6,16.11
laguna,laguna,40,US,71,38.42,-121.42,57.2,5.82
chokurdakh,chokurdakh,98,RU,95,70.63,147.92,-8.34,10.78
kuloy,kuloy,100,RU,98,61.03,42.49,30.96,1.3
anuradhapura,anuradhapura,3,LK,70,8.36,80.42,80.1,7.4
linhares,linhares,24,BR,96,-19.39,-40.07,70.95,3.67
puerto ayora,puerto ayora,31,EC,100,-0.74,-90.35,80.01,1.01
busselton,busselton,0,AU,30,-33.65,115.33,82.99,8.63
panaba,panaba,60,MX,65,21.28,-88.27,71.74,11.21
ayan,ayan,70,RU,69,56.45,138.17,16.86,3.98
lavrentiya,lavrentiya,0,RU,91,65.58,-171,-7.4,1.19
bima,bima,75,ID,76,-8.47,118.72,83.71,2.59
salalah,salalah,0,OM,64,17.02,54.09,69.8,4.7
ponta do sol,ponta do sol,20,PT,36,32.67,-17.1,62.6,14.99
erzin,erzin,73,TR,100,36.96,36.2,55.99,1.12
tuktoyaktuk,tuktoyaktuk,75,CA,75,69.45,-133.04,-20.2,8.05
norman wells,norman wells,75,CA,65,65.28,-126.83,6.8,3.36
ribeira grande,ribeira grande,96,PT,96,38.52,-28.7,60.42,12.01
mbaiki,mbaiki,7,CF,84,3.87,17.99,70.79,3.49
barrow,barrow,90,US,76,71.29,-156.79,-11.2,6.93
batagay-alyta,batagay-alyta,96,RU,93,67.8,130.41,-15.3,1.19
komsomolskiy,komsomolskiy,40,UZ,80,40.43,71.72,35.6,1.72
ola,ola,100,RU,91,59.58,151.28,16.45,7.2
kahului,kahului,90,US,60,20.89,-156.47,71.6,12.75
kharp,kharp,98,RU,92,66.8,65.81,0.55,11.05
somerset east,somerset east,63,ZA,93,-32.72,25.59,59.32,2.55
saint george,saint george,1,US,38,37.1,-113.58,61,4.47
belyy yar,belyy yar,100,RU,68,53.6,91.39,24.8,15.66
bluff,bluff,19,NZ,70,-46.6,168.33,71.01,7
cockburn town,cockburn town,82,TC,71,21.46,-71.14,72.14,29.93
hermanus,hermanus,90,ZA,88,-34.42,19.23,64.99,4
molokovo,molokovo,11,RU,94,58.17,36.76,29.64,2.75
hobart,hobart,75,AU,51,-42.88,147.33,61,11.41
constitucion,constitucion,0,CL,73,-35.33,-72.42,55.42,5.79
bethel,bethel,1,US,36,41.37,-73.41,53.01,10.29
gat,gat,65,IL,71,31.61,34.76,64,2.24
butaritari,butaritari,100,KI,76,3.07,172.79,85.1,14.94
clyde river,clyde river,90,CA,74,70.47,-68.59,-22,27.51
hasaki,hasaki,75,JP,100,35.73,140.83,57.2,17.22
hirara,hirara,75,JP,88,24.8,125.28,77,21.92
filingue,filingue,0,NE,7,14.35,3.32,77.5,8.52
pacific grove,pacific grove,1,US,66,36.62,-121.92,55.99,13.96
hilo,hilo,1,US,44,19.73,-155.09,78.8,10.29
khatanga,khatanga,100,RU,94,71.97,102.5,-22.83,4.76
axim,axim,0,GH,90,4.87,-2.24,78.13,3.02
mahebourg,mahebourg,75,MU,100,-20.41,57.7,79,12.75
nouadhibou,nouadhibou,20,MR,93,20.93,-17.03,62.6,13.87
inuvik,inuvik,40,CA,63,68.35,-133.72,-7.6,4.7
mirzapur,mirzapur,0,IN,82,25.15,82.58,60.8,6.93
